#,weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_cartridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position,trr_report_id
156,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98117
157,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98136
158,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98157
159,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98169
160,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98205
161,SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,22,4, 9 MM,2,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,05-10FT,PERSON,STANDING,98208
162,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98217
163,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98243
164,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98245
165,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98256
166,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98267
167,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98268
168,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98272
169,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98273
170,SEMI-AUTO PISTOL,SIG/S. I. G./SWISS INDUSTRIAL GESELLSCHAFT   --SZ--,,P226,4.4, 9 MM,9,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,05-10FT,PERSON,STANDING,98278
171,SEMI-AUTO PISTOL,SIG/S. I. G./SWISS INDUSTRIAL GESELLSCHAFT   --SZ--,,P226,4, 9 MM,3,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,10-15FT,PERSON,STANDING,98279
172,SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,22,4.48,40 S&W,9,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,05-10FT,PERSON,STANDING,98280
173,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98288
174,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98295
175,SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,27,3.5,40 S&W,4,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,0-5FT,PERSON,STANDING,98310
176,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98316
177,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98320
178,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98325
179,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98328
180,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98350
181,OTHER (SPECIFY),,,,,,,,,,,,,,,,,98358
182,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98359
183,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98363
184,SEMI-AUTO PISTOL,SIG/S. I. G./SWISS INDUSTRIAL GESELLSCHAFT   --SZ--,,P226,4.4, 9 MM,2,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,NONE,false,NONE,05-10FT,PERSON,STANDING,98365
185,SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,19,4, 9 MM,9,Yes,15,RIGHT SIDE (WAIST),STRONG SIDE DRAW,TACTICAL RELOAD/MAGAZINE,false,NONE,0-5FT,OBJECT,STANDING,98373
186,SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4.5, 9 MM,1,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,NONE,true,NONE,OVER 15FT,UNKNOWN,STANDING,98374
187,SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4.5, 9 MM,5,No,,LEFT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,05-10FT,PERSON,STANDING,98376
188,CHEMICAL WEAPON,,,,,,,,,,,,,,,,,98418
189,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98466
190,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98496
191,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98499
192,TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,98502
193,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98518
194,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98524
195,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98544
196,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98547
197,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98562
198,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98566
199,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98573
200,CHEMICAL WEAPON,,,,,,,,,,,,,,,,,98575
